,start,end,x_ksm,y_ksm,z_ksm,duration,Range (RS),LocalTime (hr),Latitute (deg)
68,2004-02-26 01:21:00.000,2004-02-26 03:48:00.000,435.94640890904594,-919.1854324211704,-111.89976859955952,8820.0,1023.461132055645,7.37611111111111,-19.792564914223064
69,2004-02-26 12:15:00.000,2004-02-26 15:12:00.000,434.2067240495487,-916.1704633803656,-111.66426104885257,10620.0,1019.9866197044064,7.375,-19.79245418719732
70,2004-02-26 15:30:00.000,2004-02-26 17:21:00.000,433.6883645716689,-915.2378274797164,-111.86765038447382,6660.0,1018.9505628916368,7.374444444444444,-19.792421868917167
71,2004-02-26 22:57:00.000,2004-02-27 03:24:00.000,432.500732574078,-913.2100822382478,-111.42766739017055,16020.0,1016.5754586053688,7.373888888888889,-19.792349137899112
72,2004-02-27 09:30:00.000,2004-02-27 12:15:00.000,430.82034756037183,-910.2905256398134,-111.18875098230168,9900.0,1013.2117011200826,7.372777777777777,-19.79224961132832
73,2004-02-27 19:03:00.000,2004-02-27 22:03:00.000,429.30066084982815,-907.645480806181,-110.981104430154,10800.0,1010.166412911516,7.371666666666666,-19.792163232151893
74,2004-02-28 08:42:00.000,2004-02-28 09:33:00.000,427.13084622271606,-903.8484717109034,-110.80247145227008,3060.0,1005.813107534894,7.370277777777777,-19.79204599546412
75,2004-02-28 17:12:00.000,2004-02-28 22:39:00.000,425.78102589833566,-901.5100313350767,-110.46980694807078,19620.0,1003.101887576708,7.369166666666667,-19.791976781737688
76,2004-02-29 14:48:00.000,2004-02-29 22:03:00.000,422.35544812515474,-895.5197710708084,-109.984321902111,26100.0,996.2109897024728,7.366944444444444,-19.79181255875316
77,2004-03-05 03:24:00.000,2004-03-05 08:48:00.000,405.231173611374,-865.3179704143379,-107.6014056682755,19440.0,961.5433201318748,7.355277777777777,-19.79114683920625
78,2004-03-05 12:03:00.000,2004-03-05 13:00:00.000,403.8744137309209,-862.9271608317634,-107.25171817164257,3420.0,958.780870699052,7.354444444444444,-19.791096928332625
79,2004-03-05 13:15:00.000,2004-03-06 18:42:00.000,403.6862799103138,-862.5843109529692,-107.2926567649029,106020.0,958.3976316152437,7.354166666666666,-19.791089941009712
80,2004-03-07 11:06:00.000,2004-03-07 14:39:00.000,396.5145440215079,-849.7747636951373,-106.43803530479497,12780.0,943.7531393289536,7.349444444444444,-19.790808492385388
