,start,end,x_ksm,y_ksm,z_ksm,label,duration,Range,subLST,subLat,south phase,north phase
3961,2015-06-04 08:51:00.000,2015-06-04 17:00:00.000,-26.80867829434632,-25.606822061836613,12.068910795430286,LFE,29340.0,38.98811582757458,2.736666666666667,-0.4047260562262741,3369467.982996436,3366545.7557366635
3962,2015-06-10 22:27:00.000,2015-06-11 01:42:00.000,-14.611487047903012,-32.824985180338764,6.484956737148245,LFE_sm,11700.0,36.51068158393077,4.269166666666667,-0.4246073541929094,3374775.950392992,3371815.0239486587
3963,2015-06-12 10:21:00.000,2015-06-12 23:00:00.000,-9.360074422776895,-30.041643739685817,4.09868333760078,LFE_m,45540.0,31.7318539780463,4.7475000000000005,-0.4167542537639329,3375985.0622555325,3373015.3662240296
3964,2015-06-13 02:09:00.000,2015-06-13 08:00:00.000,-6.777752837234413,-28.00573421004628,2.941144891519341,LFE,21060.0,28.96393301054444,5.0152777777777775,-0.4094829306562535,3376517.206195035,3373543.6505680643
3965,2015-06-13 13:51:00.000,2015-06-13 16:21:00.000,-4.763858762906264,-26.089737631868964,2.029969395581453,LFE_sm,9000.0,26.598675451226438,5.251944444444445,-0.4013653724264053,3376911.2621502364,3373934.848468394
3966,2015-06-15 01:18:00.000,2015-06-15 03:54:00.000,1.707563802141312,-17.14666441948261,-0.8816545616636077,LFE,9360.0,17.254019520646096,6.425555555555556,-0.3391229530147966,3378105.2180145,3375120.144670675
3967,2015-06-18 16:33:00.000,2015-06-19 04:45:00.000,-19.50389516818511,-5.254601358828901,8.8544009134307,LFE_m,43920.0,22.05477675487837,0.9188888888888888,-0.4091915913361507,3381044.180520266,3378037.4110641587
3968,2015-06-20 19:54:00.000,2015-06-21 05:48:00.000,-25.65324316757222,-16.251035506464767,11.586540654690957,LFE,35640.0,32.50281471487932,1.9997222222222224,-0.4898301395057737,3382774.013464217,3379754.3282768354
3969,2015-06-22 03:54:00.000,2015-06-23 05:18:00.000,-26.938797260261136,-21.65309296414498,12.139325794018294,LFE_m,91440.0,36.632205277278565,2.415277777777778,-0.510723348812156,3383852.0008879066,3380824.2643250125
3970,2015-06-23 10:15:00.000,2015-06-23 23:36:00.000,-26.977765483931066,-25.833090811512744,12.133890676836154,LFE_m,48060.0,39.27314240469252,2.7419444444444445,-0.5228954176807802,3384874.4045850616,3381839.0317957047
3971,2015-06-27 11:39:00.000,2015-06-27 16:09:00.000,-21.433068967814258,-33.207093017032825,9.56004867824569,LFE_sm,16200.0,40.66302992585992,3.649722222222222,-0.5363713159611235,3388155.528805916,3385095.649642344
3972,2015-06-27 20:12:00.000,2015-06-28 00:57:00.000,-20.598542454500578,-33.38739372367774,9.183059194961366,LFE,17100.0,40.29077545900429,3.730833333333333,-0.536095010140271,3388443.5535706826,3385381.523180216
3973,2015-06-28 06:54:00.000,2015-06-28 11:21:00.000,-19.481579774815387,-33.49678466383775,8.672840709213833,LFE_sm,16020.0,39.70874839761899,3.834722222222223,-0.5353850458229995,3388804.00561548,3385739.2830463257
3974,2015-06-28 16:51:00.000,2015-06-28 22:18:00.000,-18.371241916678414,-33.47501235026444,8.169171457364158,LFE,19620.0,39.04887122198659,3.934166666666667,-0.534328143566732,3389139.192330033,3386071.966286306
3975,2015-06-29 03:48:00.000,2015-06-29 09:15:00.000,-17.070131623627955,-33.30788662285049,7.57552208901182,LFE_sm,19620.0,38.18629649297967,4.048333333333333,-0.5326680591146,3389508.066151577,3386438.085027792
3976,2015-06-29 13:06:00.000,2015-06-29 20:03:00.000,-15.90027458823295,-33.03912548132992,7.048070266254884,LFE,25020.0,37.33735179455469,4.149444444444445,-0.530764892560128,3389821.3562465864,3386749.035191793
3977,2015-06-30 01:42:00.071,2015-06-30 07:36:00.317,-14.220682165521216,-32.48031379793251,6.278296145447514,LFE,21240.246,36.008548820452056,4.295,-0.5274083783792748,3390245.8137946636,3387170.322510762
3978,2015-06-30 12:39:00.527,2015-06-30 19:30:00.813,-12.672716700800963,-31.79366856960067,5.575121000003237,LFE,24660.286,34.67732809570326,4.431388888888889,-0.5235654037710509,3390614.6876162076,3387536.441252248
3979,2015-06-30 20:39:00.860,2015-07-01 06:15:00.000,-11.48990858996695,-31.16233933635316,5.04741883242556,LFE,34559.14,33.59443152056221,4.538055555555555,-0.5200837458428372,3390884.18447213,3387803.9252642924
