,start,end,duration,label,probability,x_ksm,y_ksm,z_ksm
52,2004-02-02 19:45:00.000,2004-02-02 20:51:00.000,3960.0,LFE,0.84711975,527.3688837072712,-1071.8061820683267,-123.12572043558416
53,2004-02-02 22:15:00.000,2004-02-03 00:00:00.000,6300.0,LFE,0.8406165,526.9483281330821,-1071.1574589065285,-122.8303614996026
54,2004-02-03 15:12:00.000,2004-02-03 17:36:00.000,8640.0,LFE,0.91963065,524.0995015068171,-1066.5162110142392,-122.92989964868487
55,2004-02-04 00:57:00.000,2004-02-04 04:33:00.000,12960.0,LFE,0.88730586,522.4628325015597,-1063.8726361900167,-122.74853706531098
56,2004-02-04 04:51:00.000,2004-02-04 06:36:00.000,6300.0,LFE,0.88911575,521.8085842711372,-1062.8451160597392,-122.41434124151371
57,2004-02-04 06:48:00.000,2004-02-04 10:00:00.000,11520.0,LFE,0.89819294,521.4815501612144,-1062.331126364285,-122.24862226757962
58,2004-02-04 10:06:00.000,2004-02-04 10:51:00.000,2700.0,LFE_sm,0.85594755,520.9282448906733,-1061.4045596258848,-122.46001554163871
59,2004-02-04 13:12:00.000,2004-02-04 14:24:00.000,4320.0,LFE,0.8975497,520.4086308055109,-1060.550835302026,-122.51266559444784
60,2004-02-04 14:30:00.000,2004-02-04 19:27:00.000,17820.0,LFE,0.9026618,520.1907737164772,-1060.2124918752947,-122.36414316555557
61,2004-02-06 07:27:00.000,2004-02-06 12:36:00.000,18540.0,LFE,0.9133959,513.3422417981913,-1049.073354494286,-121.77757191920875
62,2004-02-06 12:45:00.000,2004-02-07 02:33:00.000,49680.0,LFE_m,0.9103205,512.4578349460642,-1047.6768437005717,-121.30083139845313
63,2004-02-07 07:00:00.000,2004-02-07 11:21:00.000,15660.0,LFE,0.92163527,509.4159302013554,-1042.69418211018,-121.13993960937985
64,2004-02-07 11:27:00.000,2004-02-07 12:15:00.000,2880.0,LFE,0.8074202,508.6750264342853,-1041.4906032575227,-120.99806520043332
65,2004-02-07 13:36:00.000,2004-02-07 23:18:00.000,34920.0,LFE,0.8831484,508.3171781168358,-1040.8785717911496,-121.19133732222019
66,2004-02-13 03:42:00.000,2004-02-13 08:12:00.000,16200.0,LFE,0.8960261,486.14034772737665,-1004.3347137889887,-118.31665179402647
67,2004-02-17 06:15:00.000,2004-02-17 07:06:00.000,3060.0,LFE,0.8636735,470.0091551628099,-977.3114095410809,-116.5107659981854
68,2004-02-19 16:39:00.000,2004-02-19 18:00:00.000,4860.0,LFE,0.8592953,460.51566321041275,-961.2549530611592,-115.41269461972645
69,2004-02-19 18:09:00.000,2004-02-19 22:09:00.000,14400.0,LFE,0.92017657,460.272504139452,-960.8614121949247,-115.223638180661
70,2004-02-20 03:36:00.000,2004-02-20 12:39:00.000,32580.0,LFE,0.9360521,458.74140010723,-958.2470922317931,-115.15360920026939
71,2004-02-20 13:09:00.000,2004-02-20 21:42:00.000,30780.0,LFE,0.9173858,457.19551162410403,-955.6071290554194,-115.05843093496381
72,2004-02-20 21:51:00.000,2004-02-20 22:33:00.000,2520.0,LFE_sm,0.8781691,455.78847502108187,-953.2085854570679,-114.91159276391468
73,2004-02-21 01:30:00.000,2004-02-21 09:09:00.000,27540.0,LFE,0.9342502,455.1985273899711,-952.2284487748618,-114.63111642823642
74,2004-02-21 09:18:00.000,2004-02-21 23:03:00.000,49500.0,LFE_m,0.9136651,453.9385371274275,-950.0549416999969,-114.68340423675029
75,2004-02-22 14:00:00.000,2004-02-22 18:42:00.000,16920.0,LFE,0.92999625,449.31093212299226,-942.1771830580003,-113.83888094582717
76,2004-02-22 20:57:00.000,2004-02-23 04:48:00.000,28260.0,LFE,0.9091068,448.19232620520347,-940.2689056002007,-113.62841215859983
77,2004-02-23 09:12:00.000,2004-02-23 15:00:00.000,20880.0,LFE,0.89511573,446.2225717324464,-936.8993313137989,-113.29688741076443
78,2004-02-23 19:12:00.000,2004-02-24 02:12:00.000,25200.0,LFE,0.91155833,444.61638316324513,-934.1394810666897,-113.09192872333358
79,2004-02-24 10:12:00.000,2004-02-24 12:00:00.000,6480.0,LFE,0.76405966,442.21010183607393,-929.9662113425884,-113.04294230228672
80,2004-02-26 01:21:00.000,2004-02-26 03:48:00.000,8820.0,LFE,0.87736183,435.9464225942868,-919.184835785166,-111.90001001903795
81,2004-02-26 12:15:00.000,2004-02-26 15:12:00.000,10620.0,LFE,0.88797903,434.2067379097759,-916.1698698486315,-111.6645006825567
82,2004-02-26 15:30:00.000,2004-02-26 17:21:00.000,6660.0,LFE,0.8942211,433.6883784935826,-915.2372348077375,-111.86788930542879
83,2004-02-26 22:57:00.000,2004-02-27 03:24:00.000,16020.0,LFE,0.8623637,432.50074677425334,-913.209491806014,-111.42790519807494
84,2004-02-27 09:30:00.000,2004-02-27 12:15:00.000,9900.0,LFE,0.861382,430.820362329341,-910.289938078898,-111.18898689015045
85,2004-02-27 19:03:00.000,2004-02-27 22:03:00.000,10800.0,LFE,0.9164433,429.3006760045799,-907.6448956357644,-110.98133868442356
86,2004-02-28 08:42:00.000,2004-02-28 09:33:00.000,3060.0,LFE,0.9214867,427.1308618088656,-903.8478896502667,-110.80270332065021
87,2004-02-28 17:12:00.000,2004-02-28 22:39:00.000,19620.0,LFE,0.8844369,425.7810417501606,-901.5094510820776,-110.47003747408358
88,2004-02-29 14:48:00.000,2004-02-29 17:33:00.000,9900.0,LFE,0.8807994,422.3554634273906,-895.519196345317,-109.98454938065814
89,2004-02-29 17:30:00.000,2004-02-29 22:03:00.000,16380.0,LFE,0.89089465,421.92772651512263,-894.7434836023588,-110.13983548822078
90,2004-03-05 03:24:00.000,2004-03-05 04:03:00.000,2340.0,LFE_sm,0.82545197,405.2311896312977,-865.3174236041887,-107.60161615191673
91,2004-03-05 03:57:00.000,2004-03-05 08:48:00.000,17460.0,LFE,0.89907956,405.1448888967435,-865.1576005481338,-107.64231153142329
92,2004-03-05 12:03:00.000,2004-03-05 13:00:00.000,3420.0,LFE,0.7873541,403.87443024599975,-862.9266167891499,-107.2519271736143
93,2004-03-05 13:15:00.000,2004-03-06 18:42:00.000,106020.0,LFE_m,0.9042571,403.68629640819046,-862.5837672474133,-107.29286554573596
94,2004-03-07 11:06:00.000,2004-03-07 14:39:00.000,12780.0,LFE,0.88159794,396.51456047162776,-849.7742342042956,-106.438236934528
95,2004-03-07 19:54:00.000,2004-03-07 23:06:00.000,11520.0,LFE,0.9334277,395.1418332904948,-847.3346941241637,-106.10311354181593
96,2004-03-08 19:00:00.000,2004-03-09 04:27:00.000,34020.0,LFE,0.8935084,391.5442397616326,-840.8729837021174,-105.6556532275717
97,2004-03-09 10:27:00.000,2004-03-09 16:24:00.000,21420.0,LFE,0.8428056,389.14282550793115,-836.5946048006027,-104.98564419618724
98,2004-03-09 21:57:00.000,2004-03-10 01:03:00.000,11160.0,LFE,0.8838889,387.3578370553557,-833.3848577733033,-104.67426027204368
99,2004-03-10 23:21:00.000,2004-03-11 02:36:00.000,11700.0,LFE,0.9305143,383.4228427030217,-826.2497927654888,-104.30798659617918
100,2004-03-11 20:39:00.000,2004-03-11 22:42:00.000,7380.0,LFE,0.86869496,380.1309603242056,-820.2896798235538,-103.77041900609073
101,2004-03-11 22:54:00.000,2004-03-12 00:30:00.000,5760.0,LFE,0.871556,379.78364582199276,-819.6554448981157,-103.74785199762727
102,2004-03-12 17:54:00.000,2004-03-13 00:12:00.000,22680.0,LFE,0.9153984,376.85391455719054,-814.3390839442378,-103.22644432751679
103,2004-03-13 02:51:00.000,2004-03-13 09:36:00.000,24300.0,LFE,0.88922375,375.47576667991115,-811.8498817504586,-102.84970322266525
104,2004-03-13 17:06:00.000,2004-03-13 18:36:00.000,5400.0,LFE,0.8509591,373.2839701634102,-807.8294368840048,-102.68490870844181
105,2004-03-13 18:45:00.000,2004-03-13 19:51:00.000,3960.0,LFE_sm,0.8161501,373.03037736000624,-807.3789215060788,-102.54641239975496
106,2004-03-14 13:42:00.000,2004-03-14 15:15:00.000,5580.0,LFE,0.91367996,370.12080841829203,-802.0500789198239,-102.15501054027354
107,2004-03-14 16:03:00.000,2004-03-14 18:57:00.000,10440.0,LFE,0.89838815,369.76036200623025,-801.4026969210273,-101.99841066768916
108,2004-03-14 22:45:00.000,2004-03-15 02:36:00.000,13860.0,LFE,0.8028708,368.7331475831273,-799.5206754881243,-101.83407783547858
109,2004-03-15 03:21:00.000,2004-03-15 05:09:00.000,6480.0,LFE_sm,0.7657994,368.0282705158012,-798.237503937287,-101.64837528671275
110,2004-03-15 09:30:00.000,2004-03-15 11:33:00.000,7380.0,LFE,0.88582426,367.086352671724,-796.5008919769728,-101.56230625860263
111,2004-03-15 11:48:00.000,2004-03-15 12:39:00.000,3060.0,LFE_sm,0.7879887,366.7342288170587,-795.8452512343102,-101.57755707799735
112,2004-03-15 13:06:00.000,2004-03-15 14:39:00.000,5580.0,LFE,0.75652415,366.53523546109307,-795.4890500494016,-101.47326178638741
113,2004-03-16 01:21:00.000,2004-03-16 02:54:00.000,5580.0,LFE,0.83149236,364.66127981710457,-792.064587350902,-101.01526870858164
114,2004-03-16 07:12:00.000,2004-03-16 09:51:00.000,9540.0,LFE,0.89826053,363.7671164105797,-790.3995780568061,-101.02389504724901
115,2004-03-16 09:57:00.000,2004-03-16 12:30:00.000,9180.0,LFE,0.8591588,363.34694841566244,-789.6253280501164,-100.96064813769925
116,2004-03-16 20:15:00.000,2004-03-16 21:48:00.000,5580.0,LFE,0.84426033,361.7741580925722,-786.7264353189901,-100.70945662869202
117,2004-03-16 22:03:00.000,2004-03-16 22:33:00.000,1800.0,LFE,0.7565542,361.4994513348461,-786.2375742240192,-100.5258890203143
118,2004-03-17 06:15:00.000,2004-03-17 10:54:00.000,16740.0,LFE,0.9081072,360.2485708669205,-783.9106744045127,-100.46641396258123
119,2004-03-17 15:21:00.000,2004-03-17 22:06:00.000,24300.0,LFE,0.92075783,358.8614720165793,-781.3546923320683,-100.18780312772195
120,2004-03-18 02:18:00.000,2004-03-18 07:21:00.000,18180.0,LFE,0.9071115,357.1938704335164,-778.2700970236341,-99.91300015553436
121,2004-03-19 00:36:00.000,2004-03-19 05:00:00.000,15840.0,LFE,0.8955932,353.8027624501226,-771.9856609725433,-99.34156266003518
122,2004-03-19 10:39:00.000,2004-03-19 14:03:00.000,12240.0,LFE,0.8782912,352.2766915941188,-769.1544340178981,-99.06300598453652
123,2004-03-20 01:06:00.000,2004-03-20 03:42:00.000,9360.0,LFE_sm,0.84710336,350.08497347373833,-765.1042097307435,-98.4891051974604
124,2004-03-20 05:12:00.000,2004-03-20 13:36:00.000,30240.0,LFE,0.91798866,349.4636450620937,-763.9494666074376,-98.3663309807954
125,2004-03-21 11:24:00.000,2004-03-21 12:39:00.000,4500.0,LFE,0.8392217,344.8944298494387,-755.4386024080078,-97.4612856152485
126,2004-03-21 12:42:00.000,2004-03-21 13:51:00.000,4140.0,LFE,0.8169055,344.6980369623855,-755.0647897824368,-97.4784692584529
127,2004-03-21 16:39:00.000,2004-03-21 17:27:00.000,2880.0,LFE,0.7787628,344.10145697073233,-753.9188680557119,-97.60771987150123
128,2004-03-21 17:15:00.000,2004-03-22 10:27:00.000,61920.0,LFE_m,0.9057832,344.01085733834014,-753.7510924384414,-97.57861798321021
129,2004-03-22 19:45:00.000,2004-03-22 20:21:00.000,2160.0,LFE_sm,0.7158095,340.01473636003715,-746.2997350794416,-96.58448770320982
130,2004-03-22 20:27:00.000,2004-03-23 00:12:00.000,13500.0,LFE,0.84249145,339.9093221268384,-746.0979111203732,-96.59608660295093
131,2004-03-23 02:18:00.000,2004-03-23 03:06:00.000,2880.0,LFE_sm,0.7371281,339.0286524706365,-744.4218793083107,-96.6090193997875
132,2004-03-23 03:36:00.000,2004-03-23 15:06:00.000,41400.0,LFE_m,0.896701,338.83301945340554,-744.0682189547944,-96.46662848917668
133,2004-03-23 15:06:00.000,2004-03-23 19:57:00.000,17460.0,LFE,0.8854529,337.1035614112602,-740.8247485666786,-96.08733426720875
134,2004-03-23 22:27:00.000,2004-03-24 00:36:00.000,7740.0,LFE,0.8834394,335.99929359565294,-738.7160887708144,-96.11386544655852
135,2004-03-24 00:54:00.000,2004-03-24 04:30:00.000,12960.0,LFE,0.92259187,335.6313928643048,-738.0448890013604,-95.87793061908903
136,2004-03-28 23:51:00.000,2004-03-29 02:21:00.000,9000.0,LFE,0.8411263,317.8830259706353,-704.3363054119171,-92.40994154211425
137,2004-03-29 18:42:00.000,2004-03-30 02:09:00.000,26820.0,LFE,0.9077943,315.0904449131247,-698.9579075258845,-92.0173589117334
138,2004-03-30 05:51:00.000,2004-03-30 12:48:00.000,25020.0,LFE,0.84235466,313.44105603238637,-695.7916535104849,-91.65350211923695
139,2004-03-30 16:57:00.000,2004-03-30 19:33:00.000,9360.0,LFE,0.9160531,311.80083626628607,-692.6374961214501,-91.2952162949841
